"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
51,"admin.","married","university.degree","unknown","yes","no","cellular","aug","tue",545,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
29,"admin.","married","university.degree","no","no","no","cellular","may","wed",12,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
33,"services","married","high.school","unknown","yes","no","telephone","jul","tue",102,1,999,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,"no"
54,"entrepreneur","married","basic.4y","unknown","yes","no","cellular","nov","mon",310,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
35,"technician","single","professional.course","no","yes","no","cellular","aug","wed",536,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
45,"blue-collar","divorced","professional.course","unknown","yes","no","cellular","jul","wed",74,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
38,"blue-collar","married","basic.9y","unknown","yes","no","telephone","jun","mon",493,3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
34,"technician","single","university.degree","no","yes","no","cellular","mar","thu",180,2,999,0,"nonexistent",-1.8,93.369,-34.8,0.654,5008.7,"yes"
27,"blue-collar","married","university.degree","no","no","no","telephone","jun","fri",10,19,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
30,"blue-collar","divorced","high.school","unknown","no","no","cellular","may","wed",848,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"yes"
41,"services","single","high.school","unknown","yes","no","cellular","may","mon",63,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
61,"self-employed","divorced","high.school","no","no","no","cellular","aug","tue",92,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.884,5076.2,"no"
29,"admin.","single","high.school","no","yes","no","telephone","jun","wed",184,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
40,"blue-collar","married","basic.6y","unknown","yes","no","cellular","may","fri",1080,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes"
35,"technician","married","professional.course","no","no","no","cellular","nov","tue",98,3,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
45,"blue-collar","married","basic.6y","no","no","no","cellular","apr","mon",293,1,1,1,"success",-1.8,93.075,-47.1,1.405,5099.1,"no"
30,"student","married","university.degree","no","yes","no","cellular","aug","mon",186,3,3,1,"success",-2.9,92.201,-31.4,0.821,5076.2,"yes"
19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
45,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",107,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
71,"retired","married","basic.9y","no","no","no","cellular","oct","wed",237,1,999,0,"nonexistent",-3.4,92.431,-26.9,0.742,5017.5,"no"
45,"management","married","university.degree","no","no","no","cellular","nov","tue",401,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
36,"admin.","married","university.degree","unknown","yes","no","telephone","may","wed",136,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
28,"technician","single","professional.course","no","yes","no","cellular","apr","thu",477,2,999,1,"failure",-1.8,93.075,-47.1,1.483,5099.1,"no"
37,"services","single","basic.9y","no","no","no","cellular","may","tue",247,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
42,"admin.","married","basic.9y","unknown","yes","no","cellular","may","fri",98,2,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
30,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",165,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
56,"management","married","professional.course","no","yes","no","cellular","may","mon",240,2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
37,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","wed",91,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
37,"entrepreneur","divorced","university.degree","no","no","yes","cellular","may","thu",95,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"no"
48,"technician","divorced","professional.course","no","no","no","cellular","aug","tue",139,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
33,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","thu",449,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes"
46,"admin.","married","high.school","unknown","unknown","unknown","telephone","jun","mon",148,2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
57,"blue-collar","married","basic.9y","no","no","no","telephone","may","fri",153,3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
34,"admin.","unknown","university.degree","no","no","no","cellular","may","wed",139,2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
63,"retired","married","unknown","no","yes","no","cellular","apr","thu",144,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"yes"
43,"admin.","married","high.school","no","no","no","cellular","jul","mon",41,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
35,"blue-collar","single","professional.course","no","yes","no","cellular","mar","tue",81,1,999,0,"nonexistent",-1.8,92.843,-50,1.556,5099.1,"no"
57,"management","divorced","unknown","no","no","no","cellular","apr","wed",279,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
29,"admin.","single","university.degree","no","no","no","cellular","apr","thu",298,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"yes"
33,"technician","single","basic.9y","no","yes","no","cellular","jul","thu",144,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
35,"blue-collar","single","professional.course","no","yes","yes","cellular","nov","wed",51,1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
23,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",104,1,999,2,"failure",-1.7,94.215,-40.3,0.881,4991.6,"no"
47,"self-employed","married","university.degree","no","no","no","cellular","aug","mon",230,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
56,"technician","married","professional.course","no","yes","no","cellular","jul","thu",224,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
29,"blue-collar","single","basic.6y","no","no","no","telephone","may","fri",213,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
31,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",1327,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
79,"housemaid","married","basic.4y","no","no","no","cellular","aug","fri",126,1,3,2,"success",-2.9,92.201,-31.4,0.849,5076.2,"yes"
40,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",144,5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
29,"admin.","single","university.degree","unknown","yes","no","cellular","aug","fri",124,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
51,"admin.","single","university.degree","no","no","no","telephone","aug","wed",214,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
49,"services","married","high.school","unknown","no","no","telephone","may","tue",296,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"technician","married","professional.course","no","yes","no","cellular","aug","wed",210,4,999,0,"nonexistent",-2.9,92.201,-31.4,0.834,5076.2,"yes"
33,"technician","married","professional.course","no","yes","no","cellular","aug","mon",417,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
60,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","fri",161,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
23,"admin.","single","high.school","no","yes","no","cellular","may","thu",638,1,6,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"no"
33,"services","married","high.school","no","yes","no","telephone","may","fri",389,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
27,"admin.","married","high.school","no","no","yes","cellular","may","thu",279,1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no"
56,"blue-collar","married","basic.9y","no","yes","no","cellular","aug","wed",58,3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
35,"admin.","married","university.degree","no","yes","no","telephone","may","fri",150,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
32,"admin.","married","high.school","no","no","no","cellular","may","thu",187,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
38,"student","single","unknown","no","no","yes","cellular","mar","mon",248,1,3,4,"success",-1.8,93.369,-34.8,0.639,5008.7,"yes"
33,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","fri",286,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
37,"self-employed","single","university.degree","no","yes","no","cellular","apr","thu",48,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no"
53,"blue-collar","divorced","basic.4y","no","yes","no","cellular","nov","wed",206,5,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
47,"housemaid","married","university.degree","no","no","no","telephone","may","tue",93,6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
52,"self-employed","married","university.degree","no","no","no","telephone","may","tue",31,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"retired","divorced","high.school","no","yes","no","cellular","jul","thu",11,10,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
50,"services","single","high.school","no","no","no","telephone","may","fri",106,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
31,"admin.","single","university.degree","unknown","yes","no","cellular","aug","wed",87,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
35,"admin.","single","university.degree","no","no","no","cellular","jul","fri",91,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
34,"housemaid","divorced","university.degree","no","unknown","unknown","cellular","apr","fri",182,2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
35,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",79,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
45,"entrepreneur","divorced","professional.course","no","yes","no","cellular","jul","tue",50,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
58,"management","married","university.degree","no","yes","no","cellular","aug","mon",59,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
29,"admin.","single","high.school","no","unknown","unknown","telephone","jun","mon",444,3,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,"no"
38,"technician","single","professional.course","no","no","no","cellular","sep","thu",430,4,999,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"yes"
33,"admin.","married","high.school","no","no","yes","cellular","aug","tue",113,1,6,2,"success",-2.9,92.201,-31.4,0.859,5076.2,"no"
40,"entrepreneur","married","high.school","no","no","no","cellular","may","fri",132,5,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
48,"services","married","high.school","no","yes","no","telephone","may","thu",859,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
55,"unemployed","divorced","professional.course","no","no","no","telephone","dec","fri",136,1,999,0,"nonexistent",-0.2,92.756,-45.9,3.282,5176.3,"no"
41,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",115,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
28,"admin.","married","high.school","no","no","no","telephone","jun","wed",84,3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
53,"admin.","married","university.degree","no","yes","no","cellular","may","mon",202,3,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
48,"unemployed","married","professional.course","no","yes","yes","cellular","may","mon",10,4,999,1,"failure",-1.8,92.893,-46.2,1.354,5099.1,"no"
32,"admin.","married","professional.course","no","no","yes","cellular","oct","tue",221,1,6,1,"success",-3.4,92.431,-26.9,0.742,5017.5,"yes"
34,"admin.","married","university.degree","no","yes","no","telephone","jun","tue",148,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
22,"student","single","basic.9y","no","yes","no","cellular","mar","thu",173,1,999,0,"nonexistent",-1.8,92.843,-50,1.538,5099.1,"no"
23,"student","single","unknown","no","no","no","cellular","jul","tue",165,2,16,1,"success",-1.7,94.215,-40.3,0.876,4991.6,"yes"
41,"admin.","married","university.degree","no","no","no","cellular","aug","wed",108,4,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
51,"blue-collar","married","unknown","unknown","no","yes","telephone","may","mon",76,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,"admin.","single","basic.9y","no","yes","yes","cellular","may","thu",167,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
44,"blue-collar","married","basic.6y","no","no","no","cellular","apr","fri",239,1,999,2,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
29,"admin.","single","university.degree","no","yes","yes","cellular","nov","fri",1222,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes"
33,"blue-collar","single","basic.9y","unknown","yes","yes","cellular","may","mon",143,3,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
30,"technician","divorced","high.school","no","no","no","cellular","aug","thu",494,4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
33,"admin.","married","university.degree","no","yes","no","cellular","nov","fri",37,2,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,"no"
36,"technician","single","professional.course","no","no","no","cellular","aug","wed",275,1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
35,"admin.","married","university.degree","no","yes","no","cellular","mar","mon",378,4,999,0,"nonexistent",-1.8,92.843,-50,1.811,5099.1,"yes"
57,"admin.","married","university.degree","unknown","no","no","cellular","aug","wed",846,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
54,"admin.","divorced","high.school","no","no","no","cellular","nov","fri",13,6,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
35,"services","married","basic.9y","no","no","no","telephone","may","thu",95,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
47,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","mon",160,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
25,"admin.","single","university.degree","no","no","no","cellular","aug","mon",286,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.861,5076.2,"yes"
27,"unemployed","married","basic.6y","unknown","yes","no","cellular","jul","wed",62,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
53,"unknown","married","high.school","unknown","no","no","telephone","may","wed",249,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,"admin.","married","university.degree","unknown","no","yes","cellular","aug","fri",80,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
47,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",285,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
31,"blue-collar","married","basic.9y","unknown","yes","no","cellular","jun","mon",388,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,"no"
43,"services","married","high.school","no","yes","no","telephone","may","mon",312,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,"retired","married","university.degree","no","no","no","cellular","jul","fri",659,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
36,"admin.","married","university.degree","no","yes","no","telephone","may","mon",127,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"services","married","unknown","no","yes","yes","telephone","may","wed",83,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
37,"admin.","single","high.school","no","no","no","cellular","apr","thu",617,1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no"
41,"technician","divorced","professional.course","no","no","no","telephone","jul","wed",38,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
59,"self-employed","married","university.degree","no","no","no","cellular","may","tue",94,2,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
38,"blue-collar","married","high.school","unknown","yes","no","cellular","may","tue",151,2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
45,"housemaid","married","basic.4y","unknown","no","no","cellular","aug","tue",148,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
34,"management","single","unknown","no","yes","no","cellular","jul","tue",288,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
